NL #,natural language,alternative Lnaguage name,birth city,birth state,country,age,gender,onset age,english residence,LOR,learning style,sound file name,ethnologue code,notes,,,
1,cebuano,,cebu,,philippines,21,female,1,philippines,21,naturalistic,cebuano1.mp3,ceb,"30 july 2006
speaker can be considered a native english speaker.",,,
7,bulgarian,,stara zagora,,bulgaria,18,male,13,,0,academic,bulgarian7.mp3,bul,21-Aug-06,,,
173,english,,libertyville,illinois,usa,19,male,0,usa,19,naturalistic,english173.mp3,eng,13-Aug-06,,,
174,english,,kuching,sarawak,malaysia,30,female,0,"australia, singapore",12,naturalistic,english174.mp3,eng,"26 august, 2006",,,
1,teochew,chinese,"guangdong province
",guangdong,china,59,female,8,"england, malaysia",13,academic,teochew1.mp3,nan,"26 august 2006  mother of english 174;  residence: 2 years england, 11 years malaysia",,,
4,greek,,ioannina,,greece,37,male,7,,0,academic,greek4.mp3,ell,"29 august, 2006",,,
1,yupik,,bethel,alaska,usa,31,female,1,alaska,31,naturalistic,yupik1.mp3,esu,"july 2006
probably bilingual in english/yupik",,,
175,english,,seattle,washington,usa,24,male,0,usa,21,naturalistic,english175.mp3,eng,12 sept. 2006.,,,
176,english,,elizabeth city,north carolina,usa,18,female,0,usa,18,naturalistic,english176.mp3,eng,18 sept. 2006,,,
177,english,,new orleans,louisiana,usa,23,female,0,usa,23,naturalistic,english177.mp3,eng,Sep-06,,,
37,spanish,,tegucigalpa,,honduras,50,female,17,usa,13,academic,spanish37.mp3,spa,Sep-06,,,
38,spanish,,tegucigalpa,,honduras,53,male,13,usa,15,academic,spanish38.mp3,spa,Sep-06,,,
2,somali,,erigavo,,somalia,59,male,8,usa,22,academic,somali2.mp3,som,Sep-06,,,
10,turkish,,ankara,,turkey,27,male,11,,0,academic,turkish10.mp3,tur,"19 september, 2006",,,
1,ga,,accra,,ghana,47,male,5,usa,21,academic,ga1.mp3,gaa,Sep-06,,,
1,ganda,luganda,masaka,,uganda,52,female,15,usa,29,academic,ganda1.mp3,lug,Sep-06,,,
1,ngemba,,bota,,cameroon,41,male,15,usa,3,academic,ngemba1.mp3,nge,Sep-06,,,
1,hindko,,ghazi,,pakistan,62,male,6,usa,36,academic,hindko1.mp3,hno,sept. 2006,,,
178,english,,wilkes-barre,pennsylvania,usa,30,male,0,usa,30,naturalistic,english178.mp3,eng,22-Sep-06,,,
179,english,,huron,south dakota,usa,57,male,0,usa,55,naturalistic,english179.mp3,eng,23-Sep-06,,,
180,english,,newport,rhode island,usa,20,male,0,usa,20,naturalistic,english180.mp3,eng,24-Sep-06,,,
181,english,,new eagle,pennsylvania,usa,68,male,0,usa,68,naturalistic,english181.mp3,eng,24-Sep-06,,,
2,hindi,hindi-urdu,hyderabad,,india,31,male,3,"usa, canada",8,academic,hindi2.mp3,hin,22-Sep-06,,,
4,tigrigna,,asmara,,eritrea,52,female,14,usa,30,academic,tigrigna4.mp3,tir,"september, 2006",,,
8,italian,,bari,,italy,43,male,10,usa,0.1,academic,italian8.mp3,ita,"28 september 2006.
comes to usa on vacations only",,,
182,english,,troy,new york,usa,50,male,0,usa,50,naturalistic,english182.mp3,eng,30-Sep-06,,,
1,estonian,,tallinn,,estonia,26,male,7,canada,1.1,naturalistic,estonian1.mp3,est,"3 october 2006;
went to english immersion school for 10 years.",,,
2,malayalam,,trivandrum,kerala,india,29,female,5,usa,4.5,academic,malayalam2.mp3,mal,Oct-06,,,
3,hindi,hindi-urdu,jalandhar,,india,42,male,5,usa,25,academic,hindi3.mp3,hin,Oct-06,,,
4,hungarian,,szeged,,hungary,26,male,5,usa,6,academic,hungarian4.mp3,hun,Oct-06,,,
183,english,,corriverton,,guyana,55,female,0,"guyana, usa",55,naturalistic,english183.mp3,eng,"october, 2006;
residence:  29 years in guyana, 26 year in usa",,,
3,lithuanian,,kaunas,,lithuania,22,female,8,usa,1.2,academic,lithuanian3.mp3,lit,Oct-06,,,
184,english,,hillsboro,oregon,usa,18,female,0,usa,18,naturalistic,english184.mp3,eng,"7 october, 2006",,,
2,catalan,,mataro,catalonia,spain,24,male,21,uk,3,naturalistic,catalan2.mp3,cat,15-Oct-06,,,
1,shona,,bulawayo,,zimbabwe,30,female,5,"zimbabwe, usa",30,academic,shona1.mp3,sna,"18 october, 2006;
residence: zimbabwe 20 years, usa 10 years",,,
3,somali,,borama,,somalia,50,female,10,usa,5,academic,somali3.mp3,som,Oct-06,,,
1,amazigh,tamajeq,tata,,morocco,37,male,32,usa,7,academic,amazigh1.mp3,thz,"a type of berber language.
october 2006",,,
12,cantonese,chinese,macau,,china,20,female,4,canada,2.3,academic,cantonese12.mp3,yue,nov 1 2006,,,
2,mende,,freetown,,sierra leone,21,female,2,"sierra leone, usa",21,naturalistic,mende2.mp3,men,"31 october, 2006
residence:  19 yrs sierra leone; 2 years usa",,,
185,english,,oxford,,uk,38,male,0,canada,36,naturalistic,english185.mp3,eng,"3 november 2006.
residence:  first 2 years in oxford only.  36 years in toronto.",,,
186,english,,gadsden,alabama,usa,39,female,0,usa,39,naturalistic,english186.mp3,eng,5-Nov-06,,,
187,english,,algona,iowa,usa,42,female,0,usa,42,naturalistic,english187.mp3,eng,5-Nov-06,,,
11,mandarin,chinese,kao-hsiung,,taiwan,53,female,13,usa,33,academic,mandarin11.mp3,cmn,8-Nov-06,,,
12,korean,,sokcho,,south korea,31,male,31,usa,1,academic,korean12.mp3,kor,8-Nov-06,,,
14,russian,,pskov,,russia,33,male,18,usa,6,academic,russian14.mp3,rus,8-Nov-06,,,
4,gujarati,,ahmedabad,,india,53,female,16,usa,22,academic,gujarati4.mp3,guj,8-Nov-06,,,
188,english,,edinburgh,scotland,uk,35,male,0,uk,35,naturalistic,english188.mp3,eng,10-Nov-06,,,
5,thai,,bangkok,,thailand,25,male,10,,0,academic,thai5.mp3,tha,13-Nov-06,,,
39,spanish,,pamplona,,spain,20,male,3,,0,academic,spanish39.mp3,spa,"16 november, 2006",,,
15,portuguese,,sao paulo,,brazil,54,male,9,usa,1.5,academic,portuguese15.mp3,por,16-Nov-06,,,
9,german,,wuppertal,,germany,22,male,8,usa,0.2,academic,german9.mp3,deu,22-Nov-06,,,
189,english,,grand forks,north dakota,usa,19,male,0,usa,19,naturalistic,english189.mp3,eng,27-Nov-06,,,
190,english,,oak park,illinois,usa,27,male,0,usa,28,naturalistic,english190.mp3,eng,28-Nov-06,,,
9,italian,,turin,,italy,18,male,8,usa,0.1,academic,italian9.mp3,ita,25-Nov-06,,,
6,swedish,,goteborg,,sweden,26,male,7,,0,academic,swedish6.mp3,swe,28-Nov-06,,,
5,greek,,nicosia,,cyprus,51,male,25,usa,29,academic,greek5.mp3,ell,28-Nov-06,,,
5,bengali,,dhaka,,bangladesh,40,female,5,usa,15,academic,bengali5.mp3,ben,29-Nov-06,,,
12,mandarin,chinese,singapore,,singapore,23,male,1,"singapore, uk",23,naturalistic,mandarin12.mp3,cmn,"2 december 2006.
residence:  20 years singapore,  3 years london.",,,
6,bengali,,jamshedpur,jharkhand,india,29,male,4,uk,2,naturalistic,bengali6.mp3,ben,5-Dec-06,,,
19,arabic,,khouribga,,morocco,43,male,18,usa,8,academic,arabic19.mp3,ary,6-Dec-06,,,
6,polish,,torun,,poland,26,female,8,usa,2,academic,polish6.mp3,pol,Dec-06,,,
10,italian,,palermo,,italy,48,male,12,usa,25,academic,italian10.mp3,ita,Dec-06,,,
13,french,,bordeaux,,france,19,male,12,,0,academic,french13.mp3,fra,7-Dec-06,,,
14,french,,paris,,france,23,female,14,usa,1,academic,french14.mp3,fra,12-Dec-06,,,
7,swedish,,sollentuna,,sweden,21,female,11,"uk, canada",1,academic,swedish7.mp3,swe,"19 december 2006;
residence:  8 months uk,  4 months canada",,,
191,english,,las cruces,new mexico,usa,19,male,0,usa,19,naturalistic,english191.mp3,eng,"19 december, 2006.
parents are thai-chinese and spoke thai early on.",,,
16,portuguese,,porto alegre,,brazil,25,male,15,scotland,2.5,academic,portuguese16.mp3,por,"19 december, 2006",,,
15,french,,sens,,france,32,male,12,,0,academic,french15.mp3,fra,25-Dec-06,,,
11,turkish,,kocaeli,,turkey,24,female,23,usa,1,academic,turkish11.mp3,tur,25-Dec-06,,,
10,german,,darmstadt,,germany,24,male,10,uk,0.1,academic,german10.mp3,deu,"10 january, 2007",,,
192,english,,east lansing,michigan,usa,27,female,0,usa,27,naturalistic,english192.mp3,eng,"18 january, 2007",,,
193,english,,honolulu,hawaii,usa,32,male,0,usa,32,naturalistic,english193.mp3,eng,18-Jan-07,,,
194,english,,manchester,england,uk,19,male,0,uk,19,naturalistic,english194.mp3,eng,20-Jan-07,,,
195,english,,delavan,wisconsin,usa,21,female,0,usa,21,naturalistic,english195.mp3,eng,"18 january 2007
also considers asl a native language",,,
11,german,,frankfurt,,germany,20,female,11,,0,academic,german11.mp3,deu,17-Feb-07,,,
11,italian,,cagliari,,italy,30,male,18,uk,0.25,academic,italian11.mp3,ita,18-Feb-07,,,
2,dari,eastern farsi,kabul,,afghanistan,55,male,12,usa,35,academic,dari2.mp3,prs,,,,
20,arabic,,chtaura,beqa valley,lebanon,36,male,12,usa,1,academic,arabic20.mp3,apc,21-Feb-07,,,
40,spanish,,cartago,,costa rica,20,male,6,,0,academic,spanish40.mp3,spa,18-Feb-07,,,
1,slovenian,,slovenj gradec,,slovenia,25,female,6,usa,1.5,academic,slovenian1.mp3,slv,1-Mar-07,,,
3,uzbek,,tashkent,,uzbekistan,40,male,8,usa,8,academic,uzbek3.mp3,uzn,1-Mar-07,,,
15,russian,,ayaguz,,kazakhstan,34,female,12,"canada, usa",6,academic,russian15.mp3,rus,"1 march 2007
residence:  moved to belarus at age 8
3 years canada, 3 years usa",,,
16,russian,,minsk,,belarus,35,male,11,"uk, usa",6,academic,russian16.mp3,rus,"1 march 2007
residence:  3 years uk, 3 years usa",,,
1,ukrainian,,kyiv,,ukraine,26,male,17,usa,0.2,academic,ukrainian1.mp3,ukr,1-Mar-07,,,
2,belarusan,,minsk,,belarus,43,female,12,usa,5,academic,belarusan2.mp3,bel,1-Mar-07,,,
12,german,,feldkirch,,austria,29,female,14,usa,5,academic,german12.mp3,deu,1-Mar-07,,,
13,german,,eschen,,liechtenstein,54,female,13,"usa, australia, south africa",19,academic,german13.mp3,deu,"1 march 2007
residence: 16.5 years usa, 2 years australia, 0.5 years s. africa",,,
3,czech,,nachod,,czech republic,35,male,14,usa,5.75,academic,czech3.mp3,ces,3-Mar-07,,,
196,english,,suva,,fiji,50,female,0,"fiji, usa",50,naturalistic,english196.mp3,eng,"6 march 2007
reisdence:  fiji 49 years,  usa 1 year",,,
1,fijian,,savusavu,vanua levu,fiji,35,male,5,"fiji, usa",35,naturalistic,fijian1.mp3,fij,"6 march 2007
residence: 32 years fiji; 3 years usa",,,
2,fijian,,suva,,fiji,39,female,6,"fiji, usa",39,academic,fijian2.mp3,fij,"6 march 2007
residence: fiji 33 years; usa 6 years",,,
3,fijian,,suva,,fiji,48,female,6,"fiji, usa, new zealand",48,academic,fijian3.mp3,fij,"6 march 2007
residence: 45 years fiji; 2 years usa; 1 year new zealand",,,
16,french,,montreal,quebec,canada,19,female,7,canada,19,academic,french16.mp3,fra,4-Mar-07,,,
1,rotuman,,vatukoula,,fiji,43,female,5,"new zealand, fiji,  usa",43,"academic
naturalistic",rotuman1.mp3,rtm,"4 march 2007
residence: fiji 16 years, neew zealand 25 years, usa 2 years",,,
2,rotuman,,rotuma,rotuma,fiji,52,male,7,"new zealand, fiji, usa",52,academic,rotuman2.mp3,rtm,"4 march 2007
residence: new zealand 30 years, fiji 10 years, 
usa 1 year",,,
3,croatian,,split,,croatia,44,female,10,"new zealand, usa",0,academic,croatian3.mp3,hrv,"6 march 2007
residence: new zealand 5 years; usa 2.5 years",,,
197,english,,iowa city,iowa,usa,22,male,0,usa,22,naturalistic,english197.mp3,eng,8-Mar-07,,,
198,english,,washington,district of columbia,usa,56,male,0,usa,56,naturalistic,english198.mp3,eng,12-Mar-07,,,
199,english,,bay shore,new york,usa,25,male,0,usa,25,naturalistic,english199.mp3,eng,12-Mar-07,,,
2,icelandic,,akranes,,iceland,43,female,12,usa,5,academic,icelandic2.mp3,isl,12-Mar-07,,,
201,english,,warren,michigan,usa,26,female,0,usa,26,naturalistic,english201.mp3,eng,"15 march 2007
spoke polish at home as a child",,,
200,english,,berkeley,california,usa,22,female,0,usa,22,naturalistic,english200.mp3,eng,17-Mar-07,,,
2,kurdish,kurdi,hawler,kurdistan,iraq,50,male,10,usa,20,academic,kurdish2.mp3,ckb,15-Mar-07,,,
21,arabic,,beirut,,lebanon,46,female,30,usa,13,naturalistic,arabic21.mp3,apc,"15 march 2007.
born in beirut, grew up in aleppo, syria",,,
17,russian,,pskov,,russia,37,male,18,usa,2,academic,russian17.mp3,rus,15-Mar-07,,,
12,turkish,,giresun,,turkey,25,male,20,usa,0.5,academic,turkish12.mp3,tur,15-Mar-07,,,
202,english,,crisfield,maryland,usa,19,male,0,usa,19,naturalistic,english202.mp3,eng,23-Mar-07,,,
203,english,,boston,massachusetts,usa,63,female,0,usa,31,naturalistic,english203.mp3,eng,"25 march 2007.
lived in europe for 32 years",,,
14,german,,vienna,,austria,30,female,10,usa,0.25,academic,german14.mp3,deu,25-Mar-07,,,
15,german,,innsbruck,,austria,35,male,11,usa,8,academic,german15.mp3,deu,25-Mar-07,,,
5,tagalog,,tarlac city,,philippines,42,female,5,"philippines, usa, australia",42,naturalistic,tagalog5.mp3,tgl,"25 march 2007.
residence: 23 years philippines; 15 years in usa, 4 years australia",,,
204,english,,chicago,illinois,usa,53,male,0,usa,49,naturalistic,english204.mp3,eng,26-Mar-07,,,
205,english,,blue earth,minnesota,usa,45,female,0,usa,45,naturalistic,english205.mp3,eng,27-Mar-07,,,
206,english,,hucknall,"nottinghamshire, england",uk,35,female,0,uk,35,naturalistic,english206.mp3,eng,1-Apr-07,,,
12,italian,,bellinzona,,switzerland,38,female,14,"zimbabwe, usa",6.5,academic,italian12.mp3,ita,"2 april 2007
residence: zimbabwe 4 years, usa 2.5 years",,,
2,swiss german,,winterthur,,switzerland,42,female,14,"south africa, usa",6.5,academic,swissgerman2.mp3,gsw,"2 april 2005
residence: south africa 5 years, us 1.5 years",,,
17,french,,fribourg,,switzerland,39,male,14,usa,5,academic,french17.mp3,fra,2-Apr-07,,,
207,english,,wilkes-barre,pennsylvania,usa,23,female,0,usa,23,naturalistic,english207.mp3,eng,3-Apr-07,,,
13,mandarin,chinese,nantou,,taiwan,29,male,13,,0,academic,mandarin13.mp3,cmn,4-Apr-07,,,
13,turkish,,istanbul,,turkey,18,female,3,usa,15,naturalistic,turkish13.mp3,tur,"6 april, 2007.
spoke turkish with parents up to age 3.  then moved to florida.",,,
1,bavarian,,erding,bavaria,germany,54,female,10,"usa, uk",17,academic,bavarian1.mp3,bar,5 april 2007.  residence: 1 year uk, 16 years usa,,
5,romanian,,bucharest,,romania,47,female,12,usa,4,academic,romanian5.mp3,ron,5-Apr-07,,,
6,romanian,,bucharest,,romania,35,male,12,usa,1,academic,romanian6.mp3,ron,"5 april 2007.
residence: 4.5 years in belgium (nato english)
1 year usa",,,
8,romanian,,bucharest,,romania,47,male,12,usa,6,academic,romanian8.mp3,ron,5 april 2007. spent 4 years in netherlands speaking english,,,
9,romanian,,bacau,,romania,28,female,10,usa,2.5,academic,romanian9.mp3,ron,5-Apr-07,,,
10,romanian,,bucharest,,romania,27,female,11,usa,2,academic,romanian10.mp3,ron,5-Apr-07,,,
11,romanian,,buzau,,romania,39,male,14,usa,1.5,academic,romanian11.mp3,ron,5-Apr-07,,,
7,romanian,,bucharest,,romania,33,male,11,usa,4,academic,romanian7.mp3,ron,5-Apr-07,,,
208,english,,washington,dc,usa,46,male,0,usa,29,naturalistic,english208.mp3,eng,grew up in europe and middle east for 17 years.,,,
1,pashto,,kabul,kandahar,afghanistan,47,female,12,usa,28,academic,pashto1.mp3,pbt,9-Apr-07,,,
5,norwegian,,oslo,,norway,41,female,9,usa,0.5,academic,norwegian5.mp3,nor,10-Apr-07,,,
6,thai,,sukhothai,,thailand,27,male,11,usa,1,academic,thai6.mp3,tha,11-Apr-07,,,
3,finnish,,helsinki,,finland,20,female,7,usa,0.2,academic,finnish3.mp3,fin,12-Apr-07,,,
4,finnish,,helsinki,,finland,30,female,9,"uk, usa",3,academic,finnish4.mp3,fin,"12 april 2007
residence:  3 years london; 3 weeks usa",,,
8,swedish,,helsinki,,finland,22,female,10,usa,0.1,academic,swedish8.mp3,swe,12-Apr-07,,,
209,english,,saint johns,,antigua and barbuda,28,female,0,"antigua and barbuda, usa",28,naturalistic,english209.mp3,eng,"12 april 2007;
may speak antigua and barbuda english creole natively.",,,
1,sesotho,sotho,maseru,,lesotho,52,female,6,"lesotho, usa",49,academic,sesotho1.mp3,sot,12-Apr-07,,,
4,serbian,,velika plana,,serbia,27,male,15,,0,academic,serbian4.mp3,srp,19-Apr-07,,,
210,english,,trenton,nova scotia,canada,23,female,0,canada,23,naturalistic,english210.mp3,eng,24-Apr-07,,,
41,spanish,,bonao,,dominican republic,25,male,6,usa,23,naturalistic,spanish41.mp3,spa,20-Apr-07,,,
1,newari,newar,katmandu,,nepal,29,male,5,usa,5.5,naturalistic,newari1.mp3,new,20-Apr-07,,,
1,chittagonian,,chittagong,,bangladesh,39,male,12,usa,9,academic,chittagonian1.mp3,cit,"23 april, 2007",,,
8,bengali,,noakhali,,bangladesh,54,male,5,usa,9,academic,bengali8.mp3,ben,23-Apr-07,,,
7,bengali,,mymensingh,,bangladesh,49,male,6,usa,5.5,academic,bengali7.mp3,ben,"23 april 2007.
also lived 7.5 years in new delhi india",,,
1,sylheti,,sylhet,,bangladesh,54,male,17,usa,20,academic,sylheti1.mp3,syl,23-Apr-07,,,
42,spanish,,bogota,,colombia,80,female,18,usa,20,academic,spanish42.mp3,spa,26-Apr-07,,,
3,georgian,,tbilisi,,republic of georgia,29,male,6,usa,3,academic,georgian3.mp3,kat,1-May-07,,,
43,spanish,,santiago-dr,,dominican republic,43,male,16,usa,22,academic,spanish43.mp3,spa,1-May-07,,,
45,spanish,,santiago-dr,,dominican republic,47,female,12,usa,2,academic,spanish45.mp3,spa,1-May-07,,,
44,spanish,,la romana,,dominican republic,37,female,4,usa,11.5,academic,spanish44.mp3,spa,1-May-07,,,
46,spanish,,santo domingo,,dominican republic,33,male,14,usa,10,academic,spanish46.mp3,spa,1-May-07,,,
47,spanish,,santo domingo,,dominican republic,25,female,12,usa,2.5,academic,spanish47.mp3,spa,1-May-07,,,
14,mandarin,chinese,dalian,liaoning,china,49,male,20,usa,21,academic,mandarin14.mp3,cmn,16-Apr-07,,,
211,english,,worcester,massachusetts,usa,30,male,0,usa,30,naturalistic,english211.mp3,eng,5-May-07,,,
4,georgian,,tbilisi,,republic of georgia,28,male,12,usa,3,academic,georgian4.mp3,kat,2-May-07,,,
5,serbian,,belgrade,,serbia,35,male,6,usa,1.8,academic,serbian5.mp3,srp,7-May-07,,,
6,serbian,,kraljevo,,serbia,33,male,12,usa,2,academic,serbian6.mp3,srp,7-May-07,,,
7,serbian,,belgrade,,serbia,31,female,7,usa,2,academic,serbian7.mp3,srp,7-May-07,,,
9,serbian,,kragujevac,,serbia,31,female,9,usa,3.5,academic,serbian9.mp3,srp,7-May-07,,,
8,serbian,,kraljevo,,serbia,44,male,20,usa,0.75,academic,serbian8.mp3,srp,7-May-07,,,
10,serbian,,belgrade,,serbia,25,male,7,"australia, usa",1.5,naturalistic,serbian10.mp3,srp,"7 may 2007
residence: 5 years at american school in guinea; 10 months in australia, 9 months in usa",,,
7,polish,,przemet,,poland,20,male,6,,0,academic,polish7.mp3,pol,7-May-07,,,
212,english,,spartanburg,south carolina,usa,24,male,0,usa,24,naturalistic,english212.mp3,eng,9-May-07,,,
13,cantonese,chinese,hong kong,,china,21,female,3,,0,academic,cantonese13.mp3,yue,13-May-07,,,
48,spanish,,bilbao,,spain,21,male,6,,0,academic,spanish48.mp3,spa,"13 may, 2007",,,
49,spanish,,tandil,,argentina,31,male,6,,0,academic,spanish49.mp3,spa,16-May-07,,,
13,italian,,enna,,italy,20,male,8,,0,academic,italian13.mp3,ita,"22 may, 2007",,,
213,english,,dodge city,kansas,usa,38,male,0,usa,38,naturalistic,english213.mp3,eng,26-May-07,,,
14,turkish,,istanbul,,turkey,23,female,6,usa,0.5,academic,turkish14.mp3,tur,26-May-07,,,
15,turkish,,ankara,,turkey,18,male,10,usa,0.75,academic,turkish15.mp3,tur,30-May-07,,,
214,english,,myrtle beach,south carolina,usa,26,male,0,usa,26,naturalistic,english214.mp3,eng,"31 may 2007;
born in sc, lived first 15 years in houston tx.",,,
215,english,,lemington spa,warwickshire,uk,20,male,0,"uk, ireland, usa",20,naturalistic,english215.mp3,eng,5-Jun-07,,,
216,english,,chicago,illinois,usa,48,female,0,usa,48,naturalistic,english216.mp3,eng,9-Jun-07,,,
217,english,,harrow,middlesex,uk,66,male,0,"uk, usa",66,naturalistic,english217.mp3,eng,"11 june 2007.
residence:  26 years uk, 40 years usa",,,
18,french,,washington,dc,usa,22,male,6,uk,0.3,academic,french18.mp3,fra,"11 june 2007
residence:  born in DC, only spoke french.  moved to martinique at age 3.",,,
14,cantonese,chinese,hong kong,,china,19,female,3,uk,0.5,academic,cantonese14.mp3,yue,12-Jun-07,,,
4,dutch,,bilzen,flanders,belgium,18,male,10,,0,academic,dutch4.mp3,nld,18-Jun-07,,,
11,serbian,,belgrade,,serbia,26,male,14,canada,12,naturalistic,serbian11.mp3,srp,22-Jun-07,,,
16,turkish,,kars,,turkey,25,male,12,uk,0.75,academic,turkish16.mp3,tur,15-Jun-07,,,
15,mandarin,chinese,tainan,,taiwan,28,female,11,"new zealand, usa, uk",4,academic,mandarin15.mp3,cmn,27-Jun-07,,,
218,english,,abingdon,virginia,usa,27,female,0,usa,27,naturalistic,english218.mp3,eng,15-Jun-07,,,
219,english,,oakland,california,usa,38,female,0,usa,38,naturalistic,english219.mp3,eng,"25 june 2007.
raised in san luis obispo since age 4",,,
220,english,,anaheim,california,usa,18,female,0,usa,18,naturalistic,english220.mp3,eng,30-Jun-07,,,
16,mandarin,chinese,taipei,,taiwan,32,male,10,usa,1.35,academic,mandarin16.mp3,cmn,3-Jul-07,,,
3,punjabi,panjabi,moga,punjab,india,19,male,6,usa,2,naturalistic,punjabi3.mp3,pan,Jun-07,,,
50,spanish,,santo domingo,,dominican republic,27,male,15,usa,0.25,academic,spanish50.mp3,spa,Jun-07,,,
51,spanish,,caguas,,puerto rico,20,male,6,usa,20,academic,spanish51.mp3,spa,"june 2007.
residence: 20 years in p.r., 6 months in usa.",,,
221,english,,london,,uk,45,male,0,"uk, australia, usa",45,naturalistic,english221.mp3,eng,"june 2007.
parents spoke yoruba at home",,,
19,french,,grenoble,,france,39,male,12,"canada, usa",12,academic,french19.mp3,fra,"june 2007.
7 years usa, 5 years canada.",,,
2,yoruba,,ibadan,oyo,nigeria,40,female,2,"usa, uk",8.5,academic,yoruba2.mp3,yor,"7 july 2007.
7 years usa, 1.5 years uk.
english is a national language of nigeria",,,
2,nepali,,katmandu,,nepal,37,female,14,usa,4,academic,nepali2.mp3,nep,Jul-07,,,
1,burmese,,yangon,,myanmar,35,female,11,usa,1.5,academic,burmese1.mp3,mya,Jul-07,,,
13,korean,,pusan,,south korea,50,female,12,usa,19,academic,korean13.mp3,kor,Jul-07,,,
2,igbo,,kafanchan,,nigeria,65,male,14,uk,7,academic,igbo2.mp3,ibo,"july 2007.
english is a national language of nigeria",,,
14,italian,,cosenza,,italy,20,male,8,uk,0.1,academic,italian14.mp3,ita,11-Jul-07,,,
3,mongolian,khalkha mongol,ulaanbaatar,,mongolia,38,male,10,usa,0.66,academic,mongolian3.mp3,khk,Jul-07,,,
17,turkish,,ankara,,turkey,31,male,6,usa,10,academic,turkish17.mp3,tur,11-Jun-07,,,
222,english,,auburn,indiana,usa,18,female,0,usa,18,naturalistic,english222.mp3,eng,8-Jul-07,,,
4,hindi,hindi-urdu,bhilwara,rajisthan,india,28,female,14,usa,2,academic,hindi4.mp3,hin,11-Jul-07,,,
3,yoruba,,lagos,,nigeria,46,female,5,usa,34,academic,yoruba3.mp3,yor,Jul-07,,,
223,english,,erie,pennsylvania,usa,18,male,0,usa,18,naturalistic,english223.mp3,eng,16-Jul-07,,,
224,english,,bridgetown,,barbados,20,male,0,barbados,20,naturalistic,english224.mp3,eng,22-Jul-07,,,
8,polish,,otwock,,poland,20,male,11,,0,academic,polish8.mp3,pol,26-Jul-07,,,
5,dutch,,rotterdam,,netherlands,54,female,13,usa,11,academic,dutch5.mp3,nld,29-Jul-07,,,
225,english,,dundee,scotland,uk,50,male,0,"scotland, usa",50,naturalistic,english225.mp3,eng,"june 2007.
residence: scotland 35, usa 15",,,
226,english,,walton-on-thames,surrey,uk,38,male,0,"uk, usa",38,naturalistic,english226.mp3,eng,"june 2007.
residence: uk 26, usa 12",,,
227,english,,camberley,surrey,uk,42,female,0,"uk, usa",42,naturalistic,english227.mp3,eng,"june 2007.
residence: uk 30, usa 12",,,
228,english,,glasgow,scotland,uk,59,female,0,"scotland, usa, sierra leone",59,naturalistic,english228.mp3,eng,"june 2007.
residence: scotland (uk) 23, usa 30, sierra leone 5.   lived in edinburgh",,,
229,english,,burlington,vermont,usa,25,male,0,usa,25,naturalistic,english229.mp3,eng,30 july 2007.,,,
230,english,,launceston,tasmania,australia,35,male,0,australia,35,naturalistic,english230.mp3,eng,1 august 2007.,,,
52,spanish,,popayan,cauca,colombia,29,female,21,usa,3,academic,spanish52.mp3,spa,17-Jun-07,,,
1,pulaar,,dakar,,senegal,53,female,12,"uk, usa",0.5,academic,pulaar1.mp3,fuc,28-Jun-07,,,
2,pulaar,,rufisque,,senegal,44,male,13,,0,academic,pulaar2.mp3,fuc,28-Jun-07,,,
1,serer,serer sine,fatick,,senegal,39,male,18,,0,academic,serer1.mp3,srr,28-Jun-07,,,
3,wolof,,khombole,,senegal,52,female,14,,0,academic,wolof3.mp3,wol,4-Jul-07,,,
4,wolof,,dagana,,senegal,56,female,12,usa,13,academic,wolof4.mp3,wol,4-Jul-07,,,
5,wolof,,saint louis,,senegal,30,female,13,,0,academic,wolof5.mp3,wol,20-Jul-07,,,
1,jola,djola,ziguinchor,,senegal,34,male,16,,0,academic,jola1.mp3,dyo,4-Jul-07,,,
1,xasonga,khasonke,tambacounda,,senegal,35,female,15,,0,academic,xasonga1.mp3,kao,9-Jul-07,,,
3,pulaar,,dakar,,senegal,53,male,30,,0,academic,pulaar3.mp3,fuc,9-Jul-07,,,
4,bambara,bamanankan,goudiri,NULL,senegal,26,male,14,NULL,0,academic,bambara4.mp3,bam,13-Jul-07,,,
1,balanta ganja,balant,koussi,,senegal,24,male,12,,0,academic,balantaganja1.mp3,bjt,13-Jul-07,,,
1,mandinka,mandingue,ziguinchor,,senegal,23,male,12,,0,academic,mandinka1.mp3,mnk,13-Jul-07,,,
1,mankanya,mancagne,goudomp,,senegal,27,male,15,,0,academic,mankanya1.mp3,knf,13-Jul-07,,,
231,english,,tampa,florida,usa,22,male,0,usa,22,naturalistic,english231.mp3,eng,1-Aug-07,,,
2,pashto,,kabul,kandahar,afghanistan,26,female,26,usa,0.75,academic,pashto2.mp3,pbt,31-Jul-07,,,
233,english,,edmonton,alberta,canada,26,female,0,canada,26,naturalistic,english233.mp3,eng,7-Aug-07,,,
234,english,,bloomington,indiana,usa,49,male,0,usa,49,naturalistic,english234.mp3,eng,8-Aug-07,,,
235,english,,richmond,virginia,usa,52,female,0,usa,52,naturalistic,english235.mp3,eng,8-Aug-07,,,
17,mandarin,chinese,wuhan,hubei,china,26,male,13,canada,2,academic,mandarin17.mp3,cmn,10-Aug-07,,,
